source_id,name_he,name_en,url,publisher,category,subcategory,legal_domains,primary_or_secondary,official,access,commercial,historical_coverage,content_types,full_text,metadata_availability,search_available,api_available,api_type,feeds,formats,bulk_download,auth_required,paywall,captcha,robots_policy,terms_status,license_status,rag_permission,update_frequency,last_observed_update,hebrew_quality,stability,reliability_score,authority_score,legal_risk,technical_difficulty,priority_recommendation,recommended_ingestion,verified,example_documents,notes,current_integration_status,owner,validation_source,last_reviewed
LSR-031,לומייט (LawMate),LawMate,https://about.law-mate.com/,LawMate (Israeli legal-AI research company; product at law-mate.com),F-commercial,ai-legal-research-assistant,all,primary+secondary,false,restricted,true,"No public year-range/doc-count; claims answers 'backed by case law, legislation, regulations and legal literature' with AI that understands precedent hierarchy; Israeli-law focused with multi-language capability",ai_research_chat; case_law; legislation; legal_literature; document_generation,true,unknown,true,false,none_public,none mentioned,web_app,false,true,true,unknown,Marketing site crawlable,not reviewed,Proprietary SaaS,requires_permission,unknown,2026-07-11,excellent,"medium (startup, but institutional adoption: listed as a subscribed resource by Bar-Ilan University library)",70,60,medium; corpus provenance unknown,medium,Research-only,None — competitor benchmark. Outreach via site contact / trial signup,url_opened,https://about.law-mate.com/; https://about.law-mate.com/he/pricing; https://lib.biu.ac.il/node/4220,"VERIFIED: LawMate (law-mate.com; distinct from 'Legalmate'/legalmate.io — easy to confuse) is an AI legal-research chat for attorneys grounded in Israeli case law/legislation/literature; used by named Israeli firms and licensed by Bar-Ilan University library (academic channel signal). PUBLIC PRICING (unusual transparency): flat ₪200+VAT per user/month; volume discounts 10% (11-50 users), 20% (51-100), 25% (101+); extra 5% for annual; free trial with all modules. TARGETS judges, lawyers, in-house. API: none public. WHITE-LABEL: none mentioned. UNKNOWNS: corpus source (licensed from an incumbent? court scrape?), citation reliability guarantees, company legal name/funding.",not integrated,LawME (founder),commercial.json,2026-07-11
LSR-032,פסקדין,Psakdin,https://www.psakdin.co.il/,Psakdin — independent Israeli legal portal / lawyer-marketing marketplace,F-commercial,legal-portal-and-lawyer-directory (freemium),consumer_facing_all,secondary (editorial rewrites of judgments) + selected primary,false,restricted,true,"Claims 'אלפי פסקי דין במגוון תחומים' (thousands of judgments across fields) — orders of magnitude smaller than Nevo/Takdin; strength is editorial case summaries and articles, not comprehensive coverage",case_law_selected; editorial_articles; lawyer_directory; forums; calculators; forms; legal_news,partial,Basic (article-level); not research-grade citation metadata,true,false,none_public,Newsletter subscriptions,HTML,false,partial (much content free; registration tiers incl. lawyer membership),partial,unknown,"SEO-driven site, broadly crawlable",not reviewed,Proprietary editorial content (articles are copyrighted works even where underlying judgments are public),requires_permission,daily editorial,2026-07-11,excellent (consumer-register Hebrew),high (long-running portal),60,45,medium — editorial layer clearly copyrighted; ad/marketing-driven content may embed bias,low-medium,Research-only,"Not recommended as corpus (thin primary coverage, strong editorial copyright). Note their 'Halfi' AI bot ('בוט משפטי חכם שלומד מפסקי דין') claiming case-outcome prediction",url_opened,https://www.psakdin.co.il/; https://www.psakdin.co.il/Register?UserType=Lawyer,"BUSINESS MODEL: freemium consumer portal + lawyer-marketing directory, not a professional research database; paid tiers are mainly lawyer-membership/marketing. AI: 'Halfi' bot marketed as learning from judgments to predict outcomes — public claim only, no methodology published. CORPUS: 'thousands' of judgments (self-claim) + large free article library. API/WHITE-LABEL: none mentioned. LICENSING PATH: צור קשר form. RELEVANCE TO LawME: low as data source; moderate as consumer-channel competitor and SEO benchmark. UNKNOWNS: Halfi's real capabilities, willingness to syndicate editorial summaries. | ALSO covered by judicial.json:  | ALSO covered by open-caselaw-rights.json: Alive and active July 2026. Free to view without registration; optional lawyer subscription. Hebrew only. Terms of use + privacy policy linked in footer (detail",not integrated,LawME (founder),commercial.json,2026-07-11
LSR-033,בריפלי (LegalUp / קבוצת נזיקיסט),Briefly Legal O.S. (LegalUp),https://www.legalup.co.il/,"Nezikist Group Ltd. (קבוצת נזיקיסט, founded 2009, Hod HaSharon); product also at briefly.org.il",F-commercial,ai-legal-operating-system-with-database,all; personal_injury; real_estate; tax,primary+secondary,false,restricted,true,Claims an AI legal database of 'over 2 million court rulings and decisions from all Israeli courts' — the largest explicit public document-count claim found in this survey (vs Takdin's 1.5M),case_law; court_decisions; ai_search; document_editor; contract_management; pdf_tools; case_management; kyc; actuarial_calculators; medical_legal_analysis,true,unknown (behind login),true,false,none_public,Real-time court-decision analysis claimed,web_app,false,true,true,unknown,Marketing site crawlable,not reviewed,Proprietary SaaS,requires_permission,claims real-time court updates,2026-07-11,excellent,medium (parent company since 2009; Briefly O.S. is a recent all-in-one relaunch),68,55,medium-high; 2M-doc corpus provenance undisclosed,medium,Research-only,"None as source; competitor to benchmark. Contact 03-5472447 ext.1, HaNagar 24 Hod HaSharon; 14-day trial no credit card",url_opened,https://www.legalup.co.il/; https://www.briefly.org.il/מאגר-משפטי-ai.html,"VERIFIED NEW ENTRANT: 'Briefly Legal O.S.' — all-in-one AI operating system for Israeli lawyers combining a 2M+ ruling AI database (natural-language + parametric search), AI document editor, contract risk analysis, PDF suite, digital signing, case management, court-filing automation, plus verticals (medical-legal PI analysis, real-estate, tax, actuarial damages calculators). PRICING: 14-day free trial; price list page exists but rates not captured. API/WHITE-LABEL: none mentioned. KEY QUESTION FOR RFI: where do 2M+ rulings come from (court-system harvesting vs licensed feed) — directly relevant precedent for LawME's own corpus strategy. UNKNOWNS: pricing, doc-count verification, funding, citation reliability.",not integrated,LawME (founder),commercial.json,2026-07-11
LSR-034,דין רגע,Din Rega,https://www.dinrega.com/,Unknown (small Israeli legal-AI product; self-described 'בינה מלאכותית (AI) לעורכי דין'),F-commercial,ai-legal-qa-over-case-law,all,secondary (AI-generated topical syntheses over case law),false,restricted,true,"Unknown; public SEO pages are AI-generated topic briefs citing Israeli Supreme Court and lower-court case law (e.g. pages on jurisdiction, class actions, disciplinary appeals)",ai_generated_briefs; case_law_summaries,partial,unknown,true,false,none_public,none observed,HTML,false,unknown (public SEO pages open; product access unclear),unknown,unknown,SEO topic pages ('/gs/...') deliberately indexed,not reviewed,unknown,requires_permission,unknown,2026-07 (indexed pages current),good (AI-generated register),"low-medium (small/new; direct fetch was rate-limited during research, verified via search results only)",40,30,medium; AI-generated legal content of unverified accuracy,low,Research-only,None. Track as long-tail AI entrant; verify by direct visit/outreach,search_result_only,"https://www.dinrega.com/; https://www.dinrega.com/gs/... (AI topic-brief pages on jurisdiction, class actions, AI legality in courts)","NEW LONG-TAIL ENTRANT (2024-2026 wave): 'Din Rega' = 'law in a moment' — AI assistant for lawyers publishing large numbers of AI-generated Hebrew topic briefs over Israeli case law as SEO landing pages. Everything else — publisher identity, corpus, pricing, API — unknown; site could not be fetched (proxy rate limit, not site block) so all attributes are from search-result snippets and indexed page titles. Requires direct verification before treating as a real competitor. UNKNOWNS: essentially all commercial attributes.",not integrated,LawME (founder),commercial.json,2026-07-11
LSR-035,דיומא,Dyoma,https://www.dyoma.co.il/,Dyoma (דְּיוֹמָא) — online opinion/essay platform on law and public affairs,F-commercial,NOT-a-database — legal/public-affairs commentary journal (verification result),constitutional; public_law; legal_theory,secondary,false,restricted,false,"n/a — publishes contemporary essays (e.g. on judicial review, standing doctrine, AG powers, legal formalism), not a corpus of judgments or legislation",opinion_essays; commentary,true,n/a,true,false,none,unknown,HTML,false,false,false,unknown,Publicly indexed; direct fetch failed on robots.txt connect timeout during research,not reviewed,Copyrighted editorial essays,requires_permission,editorial (irregular),2026-07 (indexed articles current era),excellent (academic-register essays),medium,50,40,low (public essays) but copyright applies,low,Research-only,"None for the commercial-database track. Reclassify out of F-commercial: it is a free commentary journal, not a licensable legal database — recorded here per instruction to document verification results",search_result_only,https://dyoma.co.il/law/910; https://dyoma.co.il/law/1557; https://www.dyoma.co.il/tags/פורמליזם-משפטי,"VERIFICATION RESULT: 'דיומא' is NOT a commercial legal database. It is a Hebrew online journal of essays on law, constitutional politics and public affairs (articles on judicial activism, justiciability doctrine, standing, AG role, constitutional custom, legal formalism). Free to read; no corpus, no subscriptions observed, no licensing relevance for case-law RAG. Included only so the 'Dioma?' lead is closed with a documented answer. If secondary-literature ingestion ever matters, approach would be ordinary copyright permission from the editors.",not integrated,LawME (founder),commercial.json,2026-07-11
LSR-036,הרשות השופטת - אתר בתי המשפט,The Israeli Judiciary (Judicial Authority) - Courts Website,https://court.gov.il/,הרשות השופטת (Israeli Judicial Authority),A-judicial,judiciary portal,all; civil; criminal; administrative; labor; family,primary,true,free web,false,portal itself is current; links to decision databases,court information; judgments links; e-services; forms; case lookup,via linked systems,medium,true,unknown,unknown,unknown,HTML; PDF,no,no for public pages; gov ID login for filing/case access,false,unknown,unknown,unknown,unknown,unknown,continuous,2026-07 (live portal),"native Hebrew, high",high (occasional URL restructures between court.gov.il/gov.il),90,100,low for metadata; privacy considerations for party names,medium,P1,use as entry point/link hub; ingest decisions via Net HaMishpat publication channels,url_opened,"homepage lists e-filing, case search, decisions publication notices",Root redirects into the NGCS (Net HaMishpat) web portal. Site states judgments and decisions are published to the public on the website within 72 hours of release.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-037,נט המשפט - פורטל הציבור (עיון בתיקים ופרסום החלטות),Net HaMishpat public portal (case inquiry and decision publication),https://www.court.gov.il/ngcs.web.site/homepage.aspx,הרשות השופטת (Israeli Judicial Authority),A-judicial,case management / public decision publication,civil; criminal; administrative; labor; family; traffic,primary,true,free web; some functions need government SSO login,false,electronic case files roughly since 2010s; published decisions ongoing,judgments; decisions; case metadata; hearing schedules; e-filing,yes for published decisions,"high (case number, court, judge, parties, dates)",true,no public documented API,unknown,unknown,HTML; PDF; DOC,no,no for public decision search; yes (gov ID) for full case file access,false,reported by practitioners for some queries; unconfirmed,unknown,unknown,unknown,unknown,continuous (decisions published within 72 hours per site notice),2026-07 (live),"native Hebrew, high",high,92,100,medium - court files contain personal data; publication rules (privacy redaction) apply,"high (ASP.NET app, session-based, no API)",P0,primary official channel for new district/magistrates/labor decisions; scrape published-decisions section respectfully or obtain data-sharing agreement with the Judicial Authority,url_opened,public decision search results; small-claims e-filing service,This is THE authoritative distribution point for trial-court decisions. Homepage fetched successfully and confirms public decision publication within 72 hours.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-038,מאגר פסקי הדין וההחלטות של בית המשפט העליון,Supreme Court of Israel decisions database (supremedecisions),https://supremedecisions.court.gov.il/,הרשות השופטת / בית המשפט העליון,A-judicial,supreme court,constitutional; civil; criminal; administrative; HCJ petitions,primary,true,"free web, no login",false,digital full-text approximately from 1997 onward; selected older and English-translated judgments,judgments; decisions; English translations,yes,"high (case number, parties, justices, dates, proceeding type)",true,no documented API; undocumented JSON endpoints observed (e.g. /data/HomePage/GetSelectedJudjment?Lang=2) and direct file download URLs (/Home/Download?path=...),undocumented JSON/HTTP endpoints,unknown,HTML; DOC; PDF; TXT,no official bulk; deterministic download URL pattern enables systematic retrieval,no,false,not observed on fetched pages,robots.txt intermittently unreachable from research environment,unknown,unknown,unknown,daily (new decisions as issued),2026-07 (live search interface fetched),"native Hebrew, high; English subset professionally translated",high (URL stable for many years),95,100,low - Supreme Court decisions are core public law material,medium (structured download URLs; search is JS-driven),P0,"highest-value single corpus; harvest via search + /Home/Download file pattern (HebrewVerdicts/EnglishVerdicts paths), store TXT/DOC plus metadata",url_opened,HCJ 1181/03 English verdict via /Home/Download?path=EnglishVerdicts/03/810/011/r23; RCA 2575/18 Hebrew verdict,Root page fetched successfully showing bilingual search with date/case filters. Download endpoint pattern verified via multiple live document URLs surfaced in search results.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-039,אתר בית המשפט העליון,Supreme Court of Israel official website,https://supreme.court.gov.il/,הרשות השופטת / בית המשפט העליון,A-judicial,supreme court,constitutional; civil; criminal; administrative,primary,true,free web,false,unknown,court information; advanced decision search (fullsearch.aspx); hearing schedules; live broadcast archive,links into supremedecisions database,unknown,true,unknown,unknown,unknown,HTML; PDF,no,no,false,unknown,unknown (robots.txt unreachable from research environment),unknown,unknown,unknown,continuous,unknown,native Hebrew; English section exists,high,85,100,low,medium (SharePoint .aspx site),P2,use for court metadata and advanced-search entry point; actual documents come from supremedecisions.court.gov.il,partial,fullsearch.aspx advanced search page; /sites/en/Pages/home.aspx English homepage (seen in search results),"fetch blocked from research environment (robots.txt read errors on two attempts, two different pages). Existence and structure confirmed via search results and cross-links. | ALSO covered by open-caselaw-rights.json: Included as the provenance anchor for the free mirrors (judgments.org.il, myjudgments, HuggingFace datasets, ISCD). Presumably already/separately documented amo",not integrated,LawME (founder),judicial.json,2026-07-11
LSR-040,פסקי דין והחלטות שהופצו על ידי מערך הדוברות - הרשות השופטת,Judgments and decisions distributed by the Judiciary Spokesperson unit (gov.il collector),https://www.gov.il/he/departments/dynamiccollectors/spokmanship_court,הרשות השופטת via gov.il,A-judicial,"district, magistrates, labor and administrative courts - selected decisions",civil; criminal; administrative; labor; family,primary,true,"free web, no login",false,approximately from 2018-2019 judicial year onward (per cross-reference on labor_court_verdicts page),judgments; decisions; press-distributed rulings,yes (attached documents),"high (court, judge, date, case number filters typical of gov.il collectors)",true,gov.il dynamic collectors are backed by an internal JSON API (not officially documented),undocumented JSON (gov.il collector backend),unknown,PDF; DOC; HTML,no,no,false,unknown,unknown,unknown (gov.il general terms apply; not reviewed on-page),unknown,unknown,ongoing (newsworthy decisions as distributed),unknown,"native Hebrew, high",high (gov.il platform),85,95,low - officially released for publication,medium,P0,ingest as curated official stream of significant trial-court decisions; complements Net HaMishpat full stream,partial,unknown,"fetch blocked from research environment (HTTP 403 from gov.il on two attempts). Page existence, title and purpose confirmed via multiple independent search results and cross-links from other verified gov.il pages.",not integrated,LawME (founder),judicial.json,2026-07-11
LSR-041,מאגר פסקי דין - היחידה לחופש המידע (data.gov.il),"Judgments dataset - Freedom of Information Unit, data.gov.il",https://data.gov.il/dataset/judgments,משרד המשפטים (Ministry of Justice) on data.gov.il,A-judicial,open-data dataset,civil; criminal,primary,true,free open data,reuse subject to dataset license,2021 only (district and magistrates court decisions sample),"structured table of judgments: case numbers, parties, judges, summaries",no (tabular metadata and summaries),high (structured CSV),true,yes,CKAN REST API (package_show / datastore) - verified working,CKAN activity feeds,CSV; PDF (instructions),"yes (direct CSV download, 54.1 KB)",no,false,no (API responded without challenge),unknown,seen: dataset license field,'Other (Open)' per CKAN metadata,open_license,static; last modified 2023-03-21,2023-03-21 (CKAN metadata_modified),"Hebrew CSV, adequate",high (data.gov.il platform),80,90,low,low (CKAN API verified: /api/3/action/package_show?id=judgments),P2,"one-off ingest; small 2021 sample only - useful for schema design, not a live corpus",url_opened,CSV resource at e.data.gov.il/dataset/b6fcb3eb-.../download/csv_-_-.csv; PDF opening instructions,"Verified via CKAN API JSON. Contact: yehudakat@justice.gov.il. data.gov.il CKAN API is the general gateway to all government legal datasets. | ALSO covered by open-caselaw-rights.json: Verified via CKAN API (HTML page renders empty for fetchers). One of the few OFFICIAL open-licensed judgment datasets, but scope is only FOI cases from 2021 and | ALSO covered by opendata-apis.json: IMPORTANT: this is NOT the full national case-law corpus - only FOI-related judgments. No general 'all court decisions' dataset exists on data.gov.il; full case | rag_permission detail: likely permitted for reuse (open license) - confirm exact license text",not integrated,LawME (founder),judicial.json,2026-07-11
LSR-042,פורטל בתי הדין - משרד המשפטים (UniCourt),Ministry of Justice tribunals portal (unicourt.justice.gov.il),https://unicourt.justice.gov.il/,משרד המשפטים (Ministry of Justice),A-judicial,"special tribunals aggregator (Sharia courts, Druze religious courts, traffic tribunal, land-registration supervisors and more)",family (religious); traffic; condominium/land; administrative tribunals,primary,true,free web,false,unknown,judgments; decisions; tribunal information,"yes (judgment pages per category, e.g. /judgments/3 for traffic tribunal)",medium,true,unknown,unknown,unknown,HTML; PDF,no,no,false,unknown,unknown (robots.txt unreachable from research environment),unknown,unknown,unknown,unknown,unknown,native Hebrew (some Arabic for Sharia courts likely),medium (relatively new portal),75,90,medium - religious/family tribunal decisions carry privacy sensitivity,medium,P1,"ingest per-tribunal judgment sections (categories 1,2,3,7); covers tribunals absent from Net HaMishpat",partial,unicourt.justice.gov.il/judgments/3 (traffic tribunal); /category/7/7 (land registration supervisors); /category/1/1 (Sharia courts),fetch blocked from research environment (robots.txt fetch failed on two attempts). Structure and category URLs confirmed via multiple search results.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-043,פסקי דין - בתי הדין הרבניים (gov.il),Rabbinical Courts published rulings database (gov.il collector),https://www.gov.il/he/Departments/DynamicCollectors/verdict_the_rabbinical_courts,הנהלת בתי הדין הרבניים (Rabbinical Courts Administration),A-judicial,rabbinical courts,family; divorce; halachic monetary matters; personal status,primary,true,"free web, no login",false,multi-year archive; exact span unknown (page shows placeholder update dates),anonymized rulings; decisions,yes (downloadable documents),"high (court, dayan/judge, subject, sub-category, date, case number, representatives)",true,gov.il dynamic collectors backed by undocumented JSON API,undocumented JSON (gov.il collector backend),unknown,PDF; DOC,no,no,false,no (page fetched without challenge),unknown,unknown,unknown,unknown,ongoing; page-level 'last update' field shows placeholder (01.01.0001) data error,unknown (metadata error on page),"native Hebrew with rabbinic/halachic terminology, high",high (gov.il),85,95,medium - family-law privacy; rulings are published anonymized,medium,P1,ingest full collector with metadata facets; key corpus for family/halachic law,url_opened,"search result rows with court, dayanim, date, case number and downloadable ruling files","Fetched successfully; rich filter set confirmed (ruling name, court, subject, judge, date range, case number, summary, representatives).",not integrated,LawME (founder),judicial.json,2026-07-11
LSR-044,אתר פסקי דין רבניים (מכון פסקים),Psakim.org - rabbinical monetary-law rulings archive,https://www.psakim.org/,"מכון פסקים (Machon Psakim, registered nonprofit, est. 2016)",A-judicial,private rabbinical courts (dinei mamonot) rulings,halachic monetary law; contracts; property,primary (publishes rulings of private batei din),false,free web,false,"2016 onward mainly; ~2,520 rulings at time of check",rulings; articles; topical index (key to rulings),yes,"medium (tags, categories, court)",true,unknown,unknown,unknown,HTML; PDF,no,no,false,no (fetched without challenge),unknown,unknown,unknown,requires_permission,ongoing,2026 (active site),"native rabbinic Hebrew, high",medium,75,60,low (anonymized religious arbitration rulings),low,P2,contact nonprofit for cooperation; valuable niche corpus for Jewish monetary law,url_opened,"SimpleSearch and Tags pages listing 2,520 rulings",Covers private/communal batei din ruling by Torah law - complements the state rabbinical courts collector. | rag_permission detail: unknown - nonprofit mission is public accessibility; ask permission,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-045,"פסקי דין של בתי הדין הרבניים בישראל (פד""ר) - אתר דעת",Digitized Rabbinical Courts reports (PDR volumes) on Daat,https://www.daat.ac.il/he-il/mishpat_ivri/psakim1,"אתר דעת - מכללת הרצוג (Daat, Herzog College)",A-judicial,historical rabbinical court reports,family; personal status; halachic monetary law,secondary (digitization of official PDR volumes),false,free web,false,PDR volumes from the 1950s-1990s (print-era official reports),digitized ruling volumes,yes (digitized),low,unknown,no,unknown,no,HTML; PDF,no,no,false,unknown,unknown,unknown,unknown,unknown,static archive,unknown,"rabbinic Hebrew, OCR/digitization quality unknown",medium,65,70,low,low,P3,optional historical backfill for rabbinical case law before the gov.il database era,search_result_only,PDR volume pages listed in search results (daat.ac.il/mishpat-ivri/piskey.htm),fetch blocked from research environment (WebFetch proxy rate limit 429 at time of attempt). URL and content type confirmed via search results only.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-046,פסקי דין ייחודיים של בתי הדין לעבודה מתורגמים לאנגלית (gov.il),Selected Labor Court judgments translated to English (gov.il collector),https://www.gov.il/he/departments/dynamiccollectors/labor_court_verdicts,הרשות השופטת - בתי הדין לעבודה,A-judicial,labor courts,labor; employment; social security,primary,true,"free web, no login",false,selected judgments; links to full spokesperson stream from 2018-2019 judicial year onward,judgments (English translations); links to Hebrew originals,yes,"high (court, district, judge/panel, decision date, case name filters)",true,gov.il collector backend (undocumented JSON),undocumented JSON (gov.il collector backend),unknown,PDF; DOC,no,no,false,no,unknown,unknown,unknown,unknown,occasional (page last updated 2022-09-14),2022-09-14 (page metadata),bilingual - professional English translations of Hebrew originals,high (gov.il),80,95,low,low,P2,small curated bilingual corpus - useful for alignment/translation tasks; bulk labor case law should come from Net HaMishpat/spokesperson channel,url_opened,English-translated National Labor Court rulings with filter facets,Labor courts have no separate decisions database - full stream flows through Net HaMishpat and the spokesperson gov.il collector.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-047,פסקי דין - המפקחים על רישום מקרקעין (gov.il),Judgments of the Supervisors of Land Registration (condominium disputes),https://www.gov.il/he/departments/dynamiccollectors/tabu_search_verdict,"הרשות לרישום והסדר זכויות מקרקעין, משרד המשפטים",A-judicial,land registration supervisors (quasi-judicial tribunal),real estate; condominium (bayit meshutaf) disputes,primary,true,"free web, no login",false,"verdicts uploaded before and after 2021; pre-2021 records searchable only by office, supervisor, date and free text",judgments; decisions,yes (downloadable documents),"high (case number, office, supervisor, block/plot, municipality, parties, representatives, date range)",true,gov.il collector backend (undocumented JSON),undocumented JSON (gov.il collector backend),unknown,PDF; DOC,no,no,false,no,unknown,unknown,unknown,unknown,ongoing; page last updated 2024-09-15,2024-09-15 (page metadata),"native Hebrew, high",high (gov.il),85,90,low-medium (party names present),medium,P1,ingest full collector - unique real-estate tribunal corpus with excellent structured metadata (block/plot facets),url_opened,"search results with block/plot, supervisor, parties and downloadable verdicts",Appeals from supervisors also appear on unicourt.justice.gov.il category 7 and in district-court channels.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-048,"החלטות רשם הפטנטים, המדגמים וסימני המסחר (gov.il)",Israel Patent Office registrar decisions database,https://www.gov.il/he/departments/dynamiccollectors/registrar-decisions-db,"רשות הפטנטים (Israel Patent Office), משרד המשפטים",A-judicial,"IP tribunal (patents, trademarks, designs registrar decisions)",intellectual property; patents; trademarks; designs,primary,true,free web,false,unknown,"registrar decisions in oppositions, cancellations, extensions, hearings",yes (per external references),medium-high (typical collector facets),true,gov.il collector backend (undocumented JSON),undocumented JSON (gov.il collector backend),unknown,PDF; DOC,no,no,false,unknown,unknown,unknown,unknown,unknown,ongoing,unknown,"native Hebrew, high",high (gov.il),80,90,low,medium,P1,ingest collector; pair with trademarks.justice.gov.il register for entity linking,partial,unknown,"fetch blocked from research environment (HTTP 403 on Hebrew URL, 404 on English variant). Existence confirmed by gov.il search result title 'החלטות רשם | רשות הפטנטים' and practitioner sites referencing the database. | ALSO covered by regulators.json: Both gov.il collector (403) and patents.justice.gov.il (robots timeout) blocked to fetchers; URLs confirmed via search. gov.il WAF (F5/Akamai-type) returns 403 ",not integrated,LawME (founder),judicial.json,2026-07-11
LSR-049,מאגר המידע של רשות התחרות (כולל החלטות בית הדין לתחרות),Israel Competition Authority database (incl. Competition Tribunal matters),https://www.gov.il/he/departments/dynamiccollectors/database-trial,רשות התחרות (Israel Competition Authority),A-judicial,competition/antitrust tribunal and director-general decisions,antitrust; competition; mergers; monopolies,primary,true,"free web, no login",false,unknown (authority publications go back decades; database span unconfirmed),decisions; director-general determinations; consents; tribunal filings/rulings,yes (documents attached to records),"medium (primary subject, secondary subject, decision type, number, title)",true,gov.il collector backend (undocumented JSON),undocumented JSON (gov.il collector backend),unknown,PDF,no,no,false,no,unknown,unknown,unknown,unknown,ongoing,unknown,"native Hebrew, high",high (gov.il),80,90,low,"medium (Angular collector, client-rendered)",P1,ingest collector by decision type; Competition Tribunal (בית הדין לתחרות) court rulings themselves also flow via district-court channels (Jerusalem District),url_opened,"search interface with subject/decision-type/number/title filters (page fetched, client-side rendered)",Page fetched but Angular template only partially rendered; filter fields confirmed. Whether tribunal judgments vs only authority decisions are included needs confirmation during ingestion.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-050,"מבא""ת - מידע תכנוני: החלטות ועדות ערר לתכנון ובנייה",Mavat national planning portal - planning appeal committee decisions/protocols,https://mavat.iplan.gov.il/SV3?searchEntity=3,מינהל התכנון (Israel Planning Administration),A-judicial,planning & building appeal committees (ועדות ערר),planning and building; administrative,primary,true,"free web, no login",false,unknown (plan documents go back decades; appeal decisions span unconfirmed),appeal committee decisions; meeting protocols; plan documents,yes (PDF protocols/decisions),"high (committee, plan number, date, locality)",true,unknown (SPA with internal JSON endpoints),undocumented JSON (SPA backend),unknown,PDF; HTML,no,no,false,unknown,unknown (robots.txt unreachable from research environment),unknown,unknown,unknown,ongoing (committee meetings published continuously),unknown,"native Hebrew, high",high,78,90,low,"high (Angular SPA, session tokens)",P2,target the meetings/decisions search entity for appeal committees; heavy SPA scraping effort,partial,SV3 searchEntity=3 meetings/decisions search (seen in search results),fetch blocked from research environment (robots.txt connect timeout on two attempts). Portal existence and decision-search function confirmed via search results and Knesset research center report.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-051,ועדות ערר בסמכות בתי המשפט המחוזיים (כולל ועדות ערר מיסוי מקרקעין),Appeal committees under district courts (incl. real-estate tax appeal committees),https://www.gov.il/he/pages/appeal_committees_district_courts,הרשות השופטת / gov.il,A-judicial,tax and statutory appeal committees,tax (land appreciation/purchase tax); compensation; administrative,primary,true,free web,false,unknown,committee information; decisions published via court channels,no dedicated decisions database identified - decisions flow through Net HaMishpat and commercial databases,unknown,no (informational page),no,unknown,no,HTML,no,no,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,native Hebrew,medium,60,85,low,low,P3,no direct ingestion; capture tax-appeal-committee decisions via Net HaMishpat stream (they sit within district courts),partial,unknown,Page fetched but body did not render (only meta tags returned). No standalone public database of tax appeal committee decisions was found in research; practitioners confirm publication via court system and commercial aggregators.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-052,פדאור אתיקה - מאגר החלטות ועדות האתיקה ובתי הדין המשמעתיים של לשכת עורכי הדין,Israel Bar Association ethics and disciplinary decisions (Pador Etika free access),https://www.israelbar.org.il/article.asp?catid=2777&menu=2,לשכת עורכי הדין בישראל (Israel Bar Association) with Pador,A-judicial,attorney ethics opinions and disciplinary tribunal decisions,legal ethics; professional discipline,primary,true,"free access announced (Pador Etika 'free'), possibly registration-gated",platform operated with commercial vendor (Pador/LawData ecosystem),unknown,ethics committee opinions; disciplinary court decisions,unknown,unknown,yes (per announcement),unknown,unknown,unknown,HTML; PDF,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,native Hebrew,medium (israelbar.org.il is JS-gated legacy ASP site),65,90,medium - disciplinary decisions involve named attorneys; anonymization rules vary,high,License-needed,approach the Bar Association for licensed data access; National Ethics Committee decisions also mirrored on Nevo,partial,district ethics pages (e.g. tabar.org.il/ethica - fetched successfully) point to the national committee's decisions database,fetch blocked from research environment (israelbar.org.il returns JS-required redirect page). Tel Aviv district ethics page (tabar.org.il/ethica) fetched successfully and confirms national decisions database exists. Nevo hosts a mirror folder of Bar ethics committee decisions.,not integrated,LawME (founder),judicial.json,2026-07-11
LSR-053,"פסקי דין והחלטות - בתי הדין הצבאיים (צה""ל)",IDF Military Courts - published judgments and decisions,https://www.idf.il/אתרי-יחידות/בתי-הדין-הצבאיים/פסקי-דין-והחלטות/,"יחידת בתי הדין הצבאיים, צה""ל (IDF Military Courts Unit)",A-judicial,military courts,military law; criminal (military),primary,true,free web,false,unknown (selected published decisions),judgments; decisions (selected),unknown,unknown,unknown,unknown,unknown,unknown,HTML; PDF,no,no,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,native Hebrew,medium (idf.il restructures URLs),60,85,"medium (military justice, security-related redactions)",medium,P3,low-volume selective ingestion if military law is in scope; West Bank military courts publications are separate (National Library holds 'selected judgments' periodical),search_result_only,idf.il section pages 'פסקי דין והחלטות' and category 'פסקי דין: אחר' (from search results),fetch blocked from research environment (WebFetch proxy HTTP 429 on two attempts). Existence of the judgments section confirmed via multiple idf.il URLs in search results.,not integrated,LawME (founder),judicial.json,2026-07-11
